Id:,13166
Estación:,TLAHUELILPAN-HGO
Posición:,20.1311111111N -99.2202777778W
Variable:,Precipitación (mm)
Fecha Inicial:,05/01/2007
Fecha Final:,06/01/2010
No Dato:,nan
Mes,Día,Anio,Datos
05,01,2007,0.0
05,02,2007,0.1
05,03,2007,0.0
05,04,2007,0.1
05,05,2007,2.5
05,06,2007,0.4
05,07,2007,4.8
05,08,2007,0.0
05,09,2007,3.8
05,10,2007,0.0
05,11,2007,0.0
05,12,2007,0.0
05,13,2007,0.0
05,14,2007,0.0
05,15,2007,0.0
05,16,2007,0.0
05,17,2007,0.0
05,18,2007,0.0
05,19,2007,0.0
05,20,2007,0.0
05,21,2007,8.7
05,22,2007,0.0
05,23,2007,0.5
05,24,2007,0.2
05,25,2007,0.0
05,26,2007,14.5
05,27,2007,6.5
05,28,2007,0.0
05,29,2007,0.0
05,30,2007,0.0
05,31,2007,0.0
06,01,2007,0.0
06,02,2007,0.0
06,03,2007,0.0
06,04,2007,0.0
06,05,2007,0.0
06,06,2007,0.0
06,07,2007,0.0
06,08,2007,0.1
06,09,2007,8.5
06,10,2007,0.0
06,11,2007,0.0
06,12,2007,0.0
06,13,2007,0.0
06,14,2007,0.0
06,15,2007,14.5
06,16,2007,10.0
06,17,2007,6.9
06,18,2007,5.0
06,19,2007,1.5
06,20,2007,23.0
06,21,2007,4.0
06,22,2007,5.0
06,23,2007,8.5
06,24,2007,0.0
06,25,2007,11.5
06,26,2007,3.0
06,27,2007,0.0
06,28,2007,0.0
06,29,2007,1.0
06,30,2007,0.0
07,01,2007,3.5
07,02,2007,7.0
07,03,2007,3.0
07,04,2007,0.0
07,05,2007,0.0
07,06,2007,0.0
07,07,2007,0.0
07,08,2007,0.0
07,09,2007,0.0
07,10,2007,0.0
07,11,2007,0.0
07,12,2007,10.5
07,13,2007,0.0
07,14,2007,0.0
07,15,2007,10.0
07,16,2007,0.0
07,17,2007,4.5
07,18,2007,1.5
07,19,2007,12.5
07,20,2007,1.8
07,21,2007,0.0
07,22,2007,0.0
07,23,2007,0.0
07,24,2007,1.5
07,25,2007,0.5
07,26,2007,0.5
07,27,2007,0.5
07,28,2007,0.0
07,29,2007,7.5
07,30,2007,0.0
07,31,2007,0.0
08,01,2007,0.0
08,02,2007,0.0
08,03,2007,0.0
08,04,2007,0.0
08,05,2007,0.0
08,06,2007,0.0
08,07,2007,6.5
08,08,2007,0.0
08,09,2007,0.0
08,10,2007,0.0
08,11,2007,0.0
08,12,2007,0.0
08,13,2007,0.0
08,14,2007,0.0
08,15,2007,0.0
08,16,2007,3.0
08,17,2007,23.5
08,18,2007,7.5
08,19,2007,10.5
08,20,2007,0.0
08,21,2007,0.0
08,22,2007,62.0
08,23,2007,0.0
08,24,2007,0.0
08,25,2007,0.0
08,26,2007,1.5
08,27,2007,0.0
08,28,2007,0.0
08,29,2007,7.7
08,30,2007,0.0
08,31,2007,null
09,01,2007,25.5
09,02,2007,3.4
09,03,2007,6.8
09,04,2007,4.2
09,05,2007,0.0
09,06,2007,0.0
09,07,2007,13.5
09,08,2007,0.0
09,09,2007,0.0
09,10,2007,0.0
09,11,2007,2.7
09,12,2007,0.0
09,13,2007,0.0
09,14,2007,0.0
09,15,2007,0.0
09,16,2007,0.0
09,17,2007,0.0
09,18,2007,0.0
09,19,2007,0.0
09,20,2007,0.0
09,21,2007,0.0
09,22,2007,0.0
09,23,2007,0.0
09,24,2007,0.0
09,25,2007,0.0
09,26,2007,0.0
09,27,2007,9.3
09,28,2007,6.7
09,29,2007,6.0
09,30,2007,0.0
10,01,2007,0.0
10,02,2007,0.0
10,03,2007,0.0
10,04,2007,1.5
10,05,2007,0.0
10,06,2007,3.0
10,07,2007,0.0
10,08,2007,0.0
10,09,2007,10.5
10,10,2007,0.0
10,11,2007,0.0
10,12,2007,0.0
10,13,2007,0.0
10,14,2007,0.0
10,15,2007,0.0
10,16,2007,0.0
10,17,2007,0.0
10,18,2007,0.0
10,19,2007,4.5
10,20,2007,0.0
10,21,2007,7.5
10,22,2007,0.0
10,23,2007,0.0
10,24,2007,0.0
10,25,2007,0.0
10,26,2007,0.0
10,27,2007,0.0
10,28,2007,null
10,29,2007,null
10,30,2007,null
10,31,2007,null
11,01,2007,0.0
11,02,2007,0.0
11,03,2007,0.0
11,04,2007,0.0
11,05,2007,0.0
11,06,2007,0.0
11,07,2007,0.0
11,08,2007,0.0
11,09,2007,0.0
11,10,2007,0.0
11,11,2007,0.0
11,12,2007,0.0
11,13,2007,0.0
11,14,2007,0.0
11,15,2007,0.0
11,16,2007,0.0
11,17,2007,0.0
11,18,2007,3.5
11,19,2007,0.0
11,20,2007,0.0
11,21,2007,2.5
11,22,2007,15.0
11,23,2007,11.5
11,24,2007,0.0
11,25,2007,0.0
11,26,2007,0.0
11,27,2007,0.0
11,28,2007,0.0
11,29,2007,0.0
11,30,2007,0.0
12,01,2007,0.0
12,02,2007,0.0
12,03,2007,0.0
12,04,2007,0.0
12,05,2007,8.5
12,06,2007,0.0
12,07,2007,0.0
12,08,2007,0.0
12,09,2007,0.0
12,10,2007,0.0
12,11,2007,0.0
12,12,2007,0.0
12,13,2007,0.0
12,14,2007,0.0
12,15,2007,0.0
12,16,2007,0.0
12,17,2007,0.0
12,18,2007,0.0
12,19,2007,0.0
12,20,2007,0.0
12,21,2007,0.0
12,22,2007,0.0
12,23,2007,0.0
12,24,2007,0.0
12,25,2007,0.0
12,26,2007,0.0
12,27,2007,0.0
12,28,2007,0.0
12,29,2007,0.0
12,30,2007,0.0
12,31,2007,0.0
01,01,2008,0.0
01,02,2008,0.0
01,03,2008,0.0
01,04,2008,0.0
01,05,2008,0.0
01,06,2008,0.0
01,07,2008,0.0
01,08,2008,0.0
01,09,2008,0.0
01,10,2008,0.0
01,11,2008,0.0
01,12,2008,0.0
01,13,2008,0.0
01,14,2008,0.0
01,15,2008,0.0
01,16,2008,0.0
01,17,2008,0.0
01,18,2008,0.0
01,19,2008,0.0
01,20,2008,0.0
01,21,2008,0.0
01,22,2008,0.0
01,23,2008,0.0
01,24,2008,0.0
01,25,2008,0.0
01,26,2008,0.0
01,27,2008,0.0
01,28,2008,0.0
01,29,2008,0.0
01,30,2008,0.0
01,31,2008,0.0
02,01,2008,0.0
02,02,2008,3.8
02,03,2008,0.0
02,04,2008,0.0
02,05,2008,10.0
02,06,2008,0.0
02,07,2008,0.0
02,08,2008,0.0
02,09,2008,0.0
02,10,2008,0.0
02,11,2008,0.0
02,12,2008,7.5
02,13,2008,18.0
02,14,2008,2.0
02,15,2008,0.0
02,16,2008,0.0
02,17,2008,0.0
02,18,2008,4.6
02,19,2008,2.6
02,20,2008,0.0
02,21,2008,0.0
02,22,2008,0.0
02,23,2008,0.0
02,24,2008,0.0
02,25,2008,0.0
02,26,2008,0.0
02,27,2008,0.0
02,28,2008,0.0
02,29,2008,0.0
03,01,2008,null
03,02,2008,null
03,03,2008,null
03,04,2008,null
03,05,2008,null
03,06,2008,null
03,07,2008,null
03,08,2008,null
03,09,2008,null
03,10,2008,null
03,11,2008,null
03,12,2008,null
03,13,2008,null
03,14,2008,null
03,15,2008,null
03,16,2008,null
03,17,2008,null
03,18,2008,null
03,19,2008,null
03,20,2008,null
03,21,2008,null
03,22,2008,null
03,23,2008,null
03,24,2008,null
03,25,2008,null
03,26,2008,null
03,27,2008,null
03,28,2008,null
03,29,2008,null
03,30,2008,null
03,31,2008,null
04,01,2008,null
04,02,2008,null
04,03,2008,null
04,04,2008,null
04,05,2008,null
04,06,2008,null
04,07,2008,null
04,08,2008,null
04,09,2008,null
04,10,2008,null
04,11,2008,null
04,12,2008,null
04,13,2008,null
04,14,2008,null
04,15,2008,null
04,16,2008,null
04,17,2008,null
04,18,2008,null
04,19,2008,null
04,20,2008,null
04,21,2008,null
04,22,2008,null
04,23,2008,null
04,24,2008,null
04,25,2008,null
04,26,2008,null
04,27,2008,null
04,28,2008,null
04,29,2008,null
04,30,2008,null
05,01,2008,6.5
05,02,2008,1.0
05,03,2008,0.0
05,04,2008,0.0
05,05,2008,0.0
05,06,2008,0.0
05,07,2008,0.0
05,08,2008,3.0
05,09,2008,0.0
05,10,2008,0.0
05,11,2008,0.0
05,12,2008,0.0
05,13,2008,0.0
05,14,2008,0.0
05,15,2008,0.0
05,16,2008,0.0
05,17,2008,0.0
05,18,2008,0.0
05,19,2008,0.0
05,20,2008,0.0
05,21,2008,0.0
05,22,2008,0.0
05,23,2008,0.0
05,24,2008,0.0
05,25,2008,0.0
05,26,2008,0.0
05,27,2008,0.0
05,28,2008,0.0
05,29,2008,0.0
05,30,2008,0.0
05,31,2008,0.0
06,01,2008,0.0
06,02,2008,0.0
06,03,2008,0.0
06,04,2008,0.0
06,05,2008,0.0
06,06,2008,3.0
06,07,2008,0.0
06,08,2008,0.0
06,09,2008,5.5
06,10,2008,6.0
06,11,2008,12.5
06,12,2008,0.0
06,13,2008,0.0
06,14,2008,7.0
06,15,2008,0.0
06,16,2008,0.0
06,17,2008,0.0
06,18,2008,0.0
06,19,2008,0.0
06,20,2008,0.0
06,21,2008,0.0
06,22,2008,0.0
06,23,2008,0.0
06,24,2008,27.0
06,25,2008,0.0
06,26,2008,0.0
06,27,2008,0.0
06,28,2008,0.0
06,29,2008,9.1
06,30,2008,0.0
07,01,2008,1.5
07,02,2008,0.0
07,03,2008,8.0
07,04,2008,0.0
07,05,2008,0.0
07,06,2008,12.0
07,07,2008,29.5
07,08,2008,14.5
07,09,2008,4.5
07,10,2008,0.0
07,11,2008,3.0
07,12,2008,12.0
07,13,2008,12.5
07,14,2008,0.0
07,15,2008,0.0
07,16,2008,0.0
07,17,2008,7.0
07,18,2008,6.5
07,19,2008,0.0
07,20,2008,0.0
07,21,2008,0.0
07,22,2008,0.0
07,23,2008,3.5
07,24,2008,0.0
07,25,2008,0.0
07,26,2008,0.0
07,27,2008,0.0
07,28,2008,0.0
07,29,2008,0.0
07,30,2008,0.0
07,31,2008,0.0
08,01,2008,2.0
08,02,2008,2.0
08,03,2008,0.0
08,04,2008,0.0
08,05,2008,0.0
08,06,2008,4.0
08,07,2008,11.5
