STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20150101,3,17,13,0,17,13,8,16,6,0,16,6,0,19,13,0,19,13,7,0,0,7,0,0,1,0,0,34,0,0,143.7,0,0,34.1,16,6,7.5,19,13,32.1,16,6,9.9,19,13,19,17,13
GHCND:BRM00082361,TUCURUI BR,253,-3.786,-49.72,20150101,1,10,10,0,10,10,10,15,7,0,15,7,0,18,10,0,18,10,7,0,0,6,0,0,5,0,0,88.9,0,0,291.2,0,0,33.9,15,7,9.2,18,10,32.4,15,7,16.1,18,10,19.3,10,10
GHCND:BR038837530,PAULO AFONSO BR,269,-9.4,-38.217,20150101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,14,5,0,14,5,1,0,0,0,0,0,0,0,0,4.1,0,0,4.9,0,0,-9999,0,0,21.6,14,5,-9999,0,0,22.8,14,5,-9999,0,0
GHCND:BR00E3-0520,SAO PAULO AEROPORT BR,802,-23.617,-46.65,20150101,57,11,4,0,11,4,7,17,4,0,17,4,0,17,6,0,17,6,10,0,0,5,0,0,1,0,0,27.9,0,0,143.3,0,0,34.8,17,4,18,17,6,31.4,17,4,21.2,17,6,26.4,11,4
GHCND:BR000352000,ALTAMIRA BR,112,-3.2,-52.2,20150101,7,20,11,0,20,11,14,12,4,0,12,4,0,20,11,0,20,11,14,0,0,7,0,0,3,0,0,75.9,0,0,251.4,0,0,35,12,4,8.8,20,11,33.2,12,4,9.3,20,11,20.1,20,11
GHCND:BRM00083208,VILHENA BR,615.1,-12.694,-60.098,20150101,29,9,5,0,9,5,1,12,3,0,12,3,0,20,6,0,20,6,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.9,12,3,18.7,20,6,30.3,12,3,20.7,20,6,25.5,9,5
GHCND:BR000082400,FERNANDO DE NORONHA BR,59,-3.85,-32.417,20150101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,14,5,0,14,5,0,0,0,0,0,0,0,0,0,0.3,0,0,0.6,0,0,-9999,0,0,24.7,14,5,-9999,0,0,25.4,14,5,-9999,0,0
GHCND:BRM00083827,CATARATAS INTERNATIONAL BR,239.9,-25.596,-54.487,20150101,68,10,4,0,10,4,12,16,4,0,16,4,0,16,4,0,16,4,9,0,0,4,0,0,1,0,0,50,0,0,130.4,0,0,36.1,16,4,19.7,16,4,34.3,16,4,21.9,16,4,28,10,4
GHCND:BRM00083344,VITORIA DA CONQUISTA BR,913.8,-14.863,-40.863,20150101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,23,12,0,23,12,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,14.4,23,12,-9999,0,0,14.8,23,12,-9999,0,0
GHCND:BR000956000,ALTA FLORESTA AERO BR,289,-9.867,-56.1,20150101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,17,4,0,17,4,17,0,0,11,0,0,6,0,0,45,0,0,343.5,0,0,-9999,0,0,20.7,17,4,-9999,0,0,21.9,17,4,-9999,0,0
